,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
0,1,PAYMENT,1,C1,2,2,M1,0,0,0
1,1,PAYMENT,1,C1,1,1,M2,0,0,0
2,1,TRANSFER,1,C1,1,0,C5,0,0,1
3,1,CASH_OUT,1,C8,1,0,C3,1,0,1
4,1,PAYMENT,1,C2,1,1,M1,0,0,0
5,1,PAYMENT,1,C9,1,1,M5,0,0,0
6,1,PAYMENT,1,C1,2,2,M4,0,0,0
7,1,PAYMENT,1,C1,2,2,M6,0,0,0
8,1,PAYMENT,1,C1,1,0,M1,0,0,0
9,1,DEBIT,1,C7,1,1,C1,1,1,0
10,1,DEBIT,1,C1,1,0,C9,1,2,0
11,1,PAYMENT,1,C2,1,1,M2,0,0,0
12,1,PAYMENT,1,C1,1,1,M9,0,0,0
13,1,PAYMENT,1,C1,1,0,M8,0,0,0
14,1,PAYMENT,1,C1,3,2,M1,0,0,0
15,1,CASH_OUT,1,C9,1,0,C4,1,1,0
16,1,PAYMENT,1,C7,1,0,M1,0,0,0
17,1,PAYMENT,1,C1,1,1,M1,0,0,0
18,1,PAYMENT,1,C2,1,1,M4,0,0,0
19,1,TRANSFER,1,C1,1,0,C1,1,0,0
20,1,PAYMENT,1,C2,1,1,M1,0,0,0
21,1,DEBIT,1,C1,1,1,C1,1,1,0
22,1,DEBIT,1,C1,1,1,C5,1,0,0
23,1,PAYMENT,1,C5,1,1,M1,0,0,0
24,1,TRANSFER,2,C1,1,0,C9,1,5,0
25,1,PAYMENT,1,C1,1,0,M1,0,0,0
26,1,PAYMENT,1,C1,2,2,M5,0,0,0
27,1,PAYMENT,1,C1,1,1,M2,0,0,0
28,1,PAYMENT,1,C1,1,0,M3,0,0,0
29,1,PAYMENT,1,C7,0,0,M1,0,0,0
30,1,PAYMENT,1,C2,0,0,M3,0,0,0
31,1,PAYMENT,1,C2,0,0,M1,0,0,0
32,1,PAYMENT,1,C8,0,0,M1,0,0,0
33,1,PAYMENT,1,C1,0,0,M1,0,0,0
34,1,PAYMENT,1,C2,0,0,M1,0,0,0
35,1,PAYMENT,1,C1,0,0,M7,0,0,0
36,1,PAYMENT,1,C1,1,0,M1,0,0,0
37,1,PAYMENT,1,C9,2,2,M1,0,0,0
38,1,PAYMENT,1,C1,2,2,M1,0,0,0
39,1,PAYMENT,1,C7,2,2,M1,0,0,0
40,1,PAYMENT,1,C1,1,0,M1,0,0,0
41,1,DEBIT,1,C1,1,1,C1,2,1,0
42,1,CASH_OUT,1,C7,1,0,C1,2,1,0
43,1,PAYMENT,1,C2,1,0,M2,0,0,0
44,1,PAYMENT,1,C5,0,0,M1,0,0,0
45,1,PAYMENT,1,C1,2,2,M1,0,0,0
46,1,PAYMENT,1,C4,1,1,M2,0,0,0
47,1,CASH_OUT,1,C1,1,0,C8,1,1,0
48,1,CASH_OUT,1,C5,0,0,C2,3,6,0
49,1,PAYMENT,1,C1,1,0,M4,0,0,0
50,1,PAYMENT,1,C4,1,1,M1,0,0,0
51,1,CASH_OUT,1,C2,1,0,C2,1,0,0
52,1,PAYMENT,1,C8,2,2,M9,0,0,0
53,1,PAYMENT,1,C9,1,1,M1,0,0,1
54,1,PAYMENT,1,C1,1,1,M1,0,0,0
55,1,PAYMENT,1,C4,1,1,M1,0,0,0
56,1,PAYMENT,1,C3,1,1,M1,0,0,0
57,1,PAYMENT,1,C1,1,0,M1,0,0,0
58,1,TRANSFER,1,C1,1,1,C1,1,1,0
59,1,DEBIT,1,C8,1,1,C2,1,0,0
60,1,CASH_OUT,1,C1,1,0,C4,2,1,0
61,1,DEBIT,1,C2,1,1,C1,1,0,0
62,1,DEBIT,1,C1,4,4,C1,1,0,0
63,1,PAYMENT,1,C8,4,4,M1,0,0,0
64,1,DEBIT,1,C8,1,0,C1,2,0,0
65,1,PAYMENT,1,C1,1,0,M5,0,0,0
66,1,PAYMENT,1,C1,1,1,M5,0,0,0
67,1,PAYMENT,1,C1,1,1,M5,0,0,0
68,1,DEBIT,1,C1,1,0,C1,1,1,0
69,1,PAYMENT,1,C6,2,2,M1,0,0,0
70,1,CASH_OUT,1,C5,2,2,C2,1,0,0
71,1,CASH_OUT,1,C1,2,1,C7,2,0,0
72,1,CASH_OUT,1,C1,1,0,C9,1,4,0
73,1,PAYMENT,1,C7,1,1,M2,0,0,0
74,1,PAYMENT,1,C6,1,1,M1,0,0,1
75,1,PAYMENT,1,C1,1,1,M4,0,0,0
76,1,PAYMENT,1,C1,1,0,M6,0,0,0
77,1,PAYMENT,1,C8,1,1,M3,0,0,0
78,1,TRANSFER,1,C2,1,0,C1,1,1,0
79,1,TRANSFER,1,C2,0,0,C1,1,1,0
80,1,TRANSFER,1,C1,0,0,C7,1,0,0
81,1,TRANSFER,1,C1,0,0,C1,2,2,0
82,1,TRANSFER,1,C8,0,0,C7,2,0,0
83,1,TRANSFER,1,C1,0,0,C3,2,5,0
84,1,TRANSFER,2,C1,0,0,C1,4,8,0
85,1,TRANSFER,5,C9,0,0,C6,1,6,0
86,1,TRANSFER,3,C1,0,0,C7,3,0,0
87,1,TRANSFER,1,C1,0,0,C1,2,1,0
88,1,TRANSFER,4,C4,0,0,C1,4,8,0
89,1,TRANSFER,4,C1,0,0,C1,5,8,0
90,1,TRANSFER,2,C9,0,0,C3,2,5,0
91,1,TRANSFER,2,C2,0,0,C1,2,1,0
92,1,TRANSFER,1,C1,0,0,C1,2,1,0
93,1,TRANSFER,3,C1,0,0,C1,3,5,0
94,1,TRANSFER,5,C1,0,0,C1,5,8,0
95,1,TRANSFER,3,C8,0,0,C1,3,1,0
96,1,TRANSFER,3,C8,0,0,C1,6,8,0
97,1,TRANSFER,1,C6,0,0,C1,1,0,0
98,1,PAYMENT,1,C1,1,1,M1,0,0,0
99,1,PAYMENT,1,C1,1,0,M4,0,0,0
100,1,PAYMENT,1,C1,1,1,M9,0,0,0
101,1,PAYMENT,1,C8,1,1,M9,0,0,0
102,1,PAYMENT,1,C1,1,1,M1,0,0,0
103,1,PAYMENT,1,C1,2,2,M1,0,0,0
104,1,PAYMENT,1,C2,1,1,M1,0,0,0
105,1,PAYMENT,1,C1,1,0,M1,0,0,0
106,1,CASH_OUT,1,C2,0,0,C1,1,0,0
107,1,CASH_OUT,1,C2,0,0,C1,2,1,0
108,1,CASH_OUT,1,C1,0,0,C9,1,6,0
109,1,CASH_OUT,1,C6,0,0,C1,1,1,0
110,1,CASH_OUT,1,C1,0,0,C1,2,1,0
111,1,CASH_OUT,1,C2,0,0,C7,2,1,0
112,1,CASH_OUT,1,C1,0,0,C4,2,4,0
113,1,CASH_OUT,1,C4,0,0,C1,6,8,0
114,1,CASH_OUT,1,C7,0,0,C9,2,4,0
115,1,PAYMENT,1,C1,1,1,M2,0,0,0
116,1,PAYMENT,1,C6,1,1,M1,0,0,0
117,1,CASH_OUT,2,C1,1,0,C3,2,4,0
118,1,CASH_OUT,2,C7,2,0,C5,1,1,0
119,1,PAYMENT,1,C9,1,1,M1,0,0,0
120,1,PAYMENT,1,C7,1,1,M6,0,0,0
121,1,DEBIT,1,C1,1,1,C2,1,1,0
122,1,PAYMENT,1,C9,1,1,M3,0,0,0
123,1,TRANSFER,2,C1,2,0,C5,1,4,0
124,1,PAYMENT,1,C8,1,1,M3,0,0,0
125,1,PAYMENT,1,C3,1,1,M1,0,0,0
126,1,DEBIT,1,C1,1,1,C8,1,1,0
127,1,PAYMENT,1,C1,1,1,M7,0,0,0
128,1,PAYMENT,1,C1,1,1,M2,0,0,0
129,1,PAYMENT,1,C1,1,1,M7,0,0,0
130,1,PAYMENT,1,C1,1,1,M1,0,0,0
131,1,PAYMENT,1,C1,1,1,M1,0,0,0
132,1,TRANSFER,3,C7,1,0,C4,2,5,0
133,1,TRANSFER,1,C7,1,0,C7,1,1,0
134,1,PAYMENT,1,C1,2,2,M1,0,0,0
135,1,PAYMENT,1,C5,2,2,M1,0,0,0
136,1,PAYMENT,1,C9,2,2,M1,0,0,0
137,1,PAYMENT,1,C1,1,1,M1,0,0,0
138,1,PAYMENT,1,C2,1,1,M1,0,0,0
139,1,TRANSFER,1,C6,1,0,C1,1,1,0
140,1,PAYMENT,1,C6,2,2,M1,0,0,0
141,1,PAYMENT,1,C3,2,1,M6,0,0,0
142,1,DEBIT,1,C1,1,0,C1,1,1,0
143,1,PAYMENT,1,C1,1,1,M7,0,0,0
144,1,PAYMENT,1,C1,1,1,M4,0,0,0
145,1,PAYMENT,1,C1,1,1,M1,0,0,0
146,1,CASH_OUT,2,C1,1,0,C1,4,1,0
147,1,DEBIT,1,C1,2,2,C1,3,1,0
148,1,PAYMENT,1,C1,1,1,M6,0,0,0
149,1,PAYMENT,1,C4,1,1,M3,0,0,0
150,1,CASH_OUT,1,C1,1,0,C5,2,4,1
151,1,CASH_OUT,1,C8,0,0,C3,4,5,0
152,1,CASH_OUT,1,C2,0,0,C1,2,1,0
153,1,CASH_OUT,1,C1,0,0,C1,2,1,0
