  result   label
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    1        1
    0        0
    1        1
    1        1
    1        1
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    1        1
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    1        1
    0        0
    1        1
    1        1
    1        1
    0        0
    1        1
    1        1
    1        1
    0        0
    0        0
    1        1
    1        1
    0        0
    1        1
    1        1
    0        0
    0        0
    1        1
    1        1
    1        1
    0        0
    1        1
    1        1
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    1        1
    1        1
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    1        1
    1        1
    0        0
    1        1
    0        0
    1        1
    1        1
    0        0
    0        0
    1        1
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    1        1
    0        0
    0        0
    1        1
    1        1
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    1        1
    1        1
    0        0
    0        0
    1        1
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    1        1
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    1        1
    1        1
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    1        1
    1        1
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    1        1
    0        0
    1        1
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    1        1
    1        1
    0        0
    0        0
    0        0
    0        0
    0        0
    1        1
    0        0
    0        0
Results:
rights=745,total=891,persent=0.8361391694725028
